bin_left_m,bin_right_m,count,mean_error_m,median_error_m,p90_error_m
0.0,1.0,0,,,
1.0,2.0,0,,,
2.0,3.0,0,,,
3.0,4.0,1,78.15925509939508,78.15925509939508,78.15925509939508
4.0,5.0,1,26.13626884120337,26.13626884120337,26.13626884120337
5.0,6.0,1,0.8846554923577831,0.8846554923577831,0.8846554923577831
6.0,7.0,1,0.8820470807338668,0.8820470807338668,0.8820470807338668
7.0,8.0,2,0.8866309240259,0.8866309240259,1.072773598026361
8.0,9.0,1,0.8916052313714184,0.8916052313714184,0.8916052313714184
9.0,10.0,1,64.9963937186755,64.9963937186755,64.9963937186755
10.0,11.0,1,0.972326428496735,0.972326428496735,0.972326428496735
11.0,12.0,2,187.73613176035843,187.73613176035843,204.64728208551062
12.0,13.0,1,0.32683100563445283,0.32683100563445283,0.32683100563445283
13.0,14.0,1,0.5989530617891101,0.5989530617891101,0.5989530617891101
14.0,15.0,3,70.75638363207013,65.69341671735457,109.37547464492694
15.0,16.0,7,11.39759806750681,1.0908592011683471,36.81500405690767
16.0,17.0,5,32.902805459065554,0.8522690541983412,96.90106786664437
17.0,18.0,3,64.5021156109243,70.73277175397554,112.01821341242601
18.0,19.0,5,21.22904175049579,0.9425479300187052,55.46586361064368
19.0,20.0,3,20.56924185982132,0.9334782616313977,48.13750377898876
20.0,21.0,4,11.639504576871841,1.0263220880589665,31.26582230315645
21.0,22.0,9,51.176741687726384,0.8071588641475989,191.64284321181333
22.0,23.0,10,61.836317759906805,36.97127038388954,177.82399008452552
23.0,24.0,2,0.6753835931077623,0.6753835931077623,0.9601720521122723
24.0,25.0,7,15.998049070543322,0.964278347902758,43.265561236306304
25.0,26.0,6,49.115902520084965,24.662793860056773,121.83539743686703
26.0,27.0,10,13.10342385151294,0.8904103349120402,32.078190545001895
27.0,28.0,6,9.523961360711896,0.7930046765392517,27.354538655450163
28.0,29.0,11,30.471210439182176,0.8500191934441305,62.486998647718714
29.0,30.0,7,15.242593427700468,0.8473102077330978,51.10480155920062
30.0,31.0,5,18.534303371408974,6.713676069411342,49.08757454160099
31.0,32.0,14,6.427117251380096,0.8506509471352737,23.63083079005087
32.0,33.0,6,53.06505142952761,1.0455327085260702,157.52589506337856
33.0,34.0,8,15.25034514879949,1.2069694280191572,41.11454600110726
34.0,35.0,7,19.931511343867022,1.6326250700499891,52.80211671839572
35.0,36.0,11,0.8814319756578756,0.8812262514580196,1.1795832695932316
36.0,37.0,10,50.567355152268185,1.1626400660314364,156.06768298810647
37.0,38.0,7,10.81435140089489,0.8875470777103224,29.00030801188174
38.0,39.0,11,10.46096143734788,1.2035632672656913,7.4986057176347805
39.0,40.0,11,16.033904133241318,0.8260245662792217,26.86082011979071
40.0,41.0,8,31.828635013780165,2.2071769053712638,101.07421043495563
41.0,42.0,3,31.70742604584358,0.7828827080336823,75.11122993528288
42.0,43.0,13,13.25436788417085,0.9285597859650309,37.19254296150814
43.0,44.0,14,12.549330621214253,0.9113883626531988,34.63664871129422
44.0,45.0,8,36.679439594244336,1.21915490708218,103.76020515135687
45.0,46.0,10,23.894457799113972,1.2487441066810556,48.32021650340896
46.0,47.0,6,70.46821198928934,29.702092287413592,180.96106461182586
47.0,48.0,15,13.478569140675836,0.7347336633326783,39.07631228797857
48.0,49.0,13,56.8236690741977,19.71357400371632,190.54017617647548
49.0,50.0,10,39.778110686148054,7.073889776022929,111.36238155207401
50.0,51.0,0,,,
