bin_left_m,bin_right_m,count,median_error_m
0,20,39,1.0345992738719314
20,40,162,1.5698215930782244
40,60,219,1.1867103936407104
60,80,335,1.2879023242295227
80,100,455,1.3126663686732378
100,120,514,1.359489854574677
120,140,636,1.478195285012215
140,160,687,1.2806682286685034
160,180,788,1.403334694254122
180,200,832,1.3332596994988641
200,220,615,1.4183069622407831
220,240,388,1.2206617882113568
240,260,224,1.568536071371426
260,280,74,2.0797456691827585
280,300,2,9.313170158929585
